CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	1809487	1479394	1479426	1477223	1448379	1534574	1651432	1724020	1714183	1776929	1661492	1540648	1564048	1830853	1663744	1809195	1662292	1564987	1595177	1621623	1459612	1467032	1536575	1658393	1662690	1571581	1642933	1658119	1658466	1715507	1711022	1711447	1709620	1711461	1764436	1864968	1792809	1699183	1700734	1627112	1570440	1529873	1465827	1465947	1416060	1424108	1343026	1251970	1203361	1295801	1096536	1215285	1082559	1082559	1275807	1638298	1540380	1459957	1074670	759593
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	39968	17431	37135	37135	16841	94516	43094	47239	47239	64133	55748	39001	74720	74720	136330	70630	14583	61346	61346	5491	2374	53228	208594	208594	29097	5561	5955	5792	5792	4223	3733	6509	1618	1618	1620	3735	2902	3537	3537	8317	4302	6300	2159	2159	18754	18080	12838	7722	7722	127993	21032	151512	16209	16209	80494	50331	26817	55372	66886	23552
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	5132	5132	5132	5132	5132	132	132	132	132	132	132	132	132	132	132	132	132	132	132	132	132	132	132	132	3678	378	624	624	624	622	31243	31208	31208	31208	44661	44661	44477	44317	44319	44365	44365	41633	42633	42633	32436	46552	37561	43044	43044	90428	75783	73883	88536	88536	57723	65159	103725	89422	48807	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	892279	759099	910575	910575	916119	914553	1053477	1115876	1115871	1014871	904271	764448	679827	679749	857026	680002	649034	540547	590547	472419	422789	364758	264222	264222	224841	164047	82530	152885	86482	81078	198008	122452	197878	140060	191715	273680	175091	196201	125711	130895	183840	160459	179642	130372	154300	176119	205522	171067	171055	165431	133537	125721	163035	135381	180200	126146	99282	90059	43207	97116
Hàng tồn kho###Inventory	869657	693097	523183	510980	507343	522428	552038	558075	547721	691694	696341	730039	799157	1070176	665152	1055791	993582	960467	940656	1141404	1032123	1046621	1061277	1182810	1401751	1398978	1475381	1493844	1494190	1555090	1473524	1486585	1474407	1473710	1443891	1532684	1487839	1447482	1449091	1375650	1329534	1255677	1233196	1233563	1180235	1150786	1061768	1025150	966698	897585	855926	836358	814546	814546	946947	1351822	1269415	1200439	898583	628258
Tài sản ngắn hạn khác###Other Current Assets	2451	4635	3401	13401	2944	2945	2692	2698	3221	6100	5000	7029	10212	6076	5104	2640	4961	2496	2496	2177	2195	2293	2351	2636	3323	2616	78443	4974	71377	74493	4515	64694	4509	64866	82549	10209	82501	7647	78077	67884	8398	65805	8199	57221	30335	32571	25337	4987	14842	14365	10258	27811	233	27886	10443	44841	41141	24664	17187	10666
Tài sản dài hạn###Non-current Assets	324716	312045	302193	302195	316031	322521	324780	350225	340840	379187	357822	366947	364475	137248	236526	175330	181817	183126	138915	138968	139434	135595	136001	134122	123317	124784	51249	54702	51098	75305	77184	79757	81786	87387	89686	91280	93565	91668	91676	91021	93057	237540	231793	234017	240844	240216	266826	259210	262707	251820	245252	229275	214356	213765	211913	180558	137378	120745	107081	19745
Các khoản phải thu dài hạn###Long term Account Receivable	48	48	48	48	48	48	48	48	48	48	48	58	58	58	50058	50058	50058	50053	53	53	53	53	53	53	53	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	16384	17667	18905	18905	20155	16919	18120	19354	19354	17297	18283	19368	17658	17662	16902	17822	18742	19625	19625	19235	20139	18040	18890	18920	14013	14753	15459	19231	18731	19537	20381	38137	38952	38952	39773	40611	41333	20167	38166	38865	39601	40374	22708	40959	53803	53743	30206	3387	28767	19183	18292	18520	14621	14621	3109	3424	3839	3644	7962	3700
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-36703	-35460	-34168	-34168	-32881	-31591	-30390	-29156	-29156	-28030	-26883	-25760	-24714	-24821	-18881	-17961	-17041	-16123	-16123	-15206	-14303	-13504	-13113	-13083	-12720	-11981	-11275	-11215	-11215	-10370	-9526	-9144	-8329	-9256	-8435	-7597	-6983	-7170	-7170	-7414	-6680	-5907	-5306	-5135	-4876	-5379	-5605	-5413	-5413	-5182	-4950	-4692	-4416	-4416	-4364	-4109	-4250	-3907	-3994	-2035
