CAN DOI KE TOAN	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	 2006	 2005
Tài sản ngắn hạn###Current Assets	2576521	2831025	2885439	1715237	1715237	2223723	1552378	2084677	2428063	2994359	2600739	2579522	2050669	1009662	984048	824438	635645	247002	284503	284503	161421	99494
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	34029	45917	25404	23618	23618	58735	16348	35702	10336	11206	14569	241795	212194	74112	74049	10972	12461	76537	117262	117262	15870	25691
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	1607278	1880572	1870579	1168080	1168080	1404170	1052367	1504647	1522647	2018043	1519647	1552675	1182733	664748	703748	360647	129843	76436	67936	67936	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	374223	389351	753377	452089	452089	382146	98650	174460	114385	900853	1045213	766481	632452	87087	188932	432670	448581	55259	63519	63519	125552	66357
Hàng tồn kho###Inventory	446818	419947	14907	16517	16517	16347	25578	19699	11612	11612	11720	11407	12368	12078	12078	16932	16349	11233	11121	11121	10225	5277
Tài sản ngắn hạn khác###Other Current Assets	114174	95238	221172	54933	54933	362325	359435	350169	769084	52646	9591	7165	10922	171637	5241	3216	28411	27537	24664	24664	9774	2169
Tài sản dài hạn###Non-current Assets	6903581	6650869	7261008	6050418	6018539	5393562	5241260	4914812	4757651	4577507	2374270	2471381	2228750	2192574	2198042	2352228	2272972	1552711	1485417	1485417	977267	423418
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	3549485	3323967	3526735	2865405	2865405	2157185	2094589	2034220	1946189	2010323	1906570	2046127	1924499	1960361	1947124	1587171	1530214	1366716	1318770	1318770	932188	404151
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-369386	-328115	-303807	-279168	-279168	-263146	-245952	-229755	-212836	-212855	-196159	-179404	-163202	-147238	-147238	-131483	-115837	-100310	-85882	-85882	-45712	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-13672	-11163	-10457	-9160	-9160	-8551	-7950	-7372	-6785	-6785	-6223	-5675	-5159	-4649	-4649	-4148	-3668	-3214	-2774	-2774	-1289	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	19510	19711	19912	20112	20112	20313	20514	20715	20916	20916	21117	21318	21288	21480	21480	21671	21863	22054	22246	22246	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	2647550	2631614	2652499	3092175	3092161	3171297	3079014	2806254	2730334	2486057	363855	311374	164658	165435	142075	671995	649178	104813	81687	81687	6900	3000
Tài sản dài hạn khác###Other long term assets	106095	79022	80107	72726	40861	44766	47144	53622	60211	60211	82728	92562	118305	45298	87363	50035	71717	59128	62715	62715	38179	16267
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	9480102	9481894	10146447	7765656	7733776	7617285	6793638	6999489	7185714	7571866	4975009	5050904	4279419	3202236	3182090	3176666	2908616	1799713	1769920	1769920	1138687	522912
Nợ phải trả ###Liabilities	5377749	5444063	5942962	5274137	5240012	5211304	5020220	5344627	5702941	5963172	3486410	3624277	3075705	1977175	1989496	1989631	1801563	762662	742832	742832	823739	290678
Nợ ngắn hạn###Short term Liabilities	733509	903857	1665062	1286499	1286499	1287443	1072429	887643	1219714	1480595	935578	1077030	538522	438885	452067	407502	219409	185552	181745	181745	697753	220760
Nợ dài hạn###Long term Liabilities	4644240	4540206	4277900	3987639	3953514	3923861	3947791	4456984	4483227	4482576	2550832	2547247	2537184	1538290	1537429	1582128	1582154	577110	561087	561087	125986	69918
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	2147483647	8	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	4054723	3990102	3656616	1955834	1960131	1923952	1226090	1187802	1184351	1153615	1192863	1138359	1079668	1100984	1068518	1056976	1047010	1036856	1027088	1027088	314949	232234
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	-453	-447	-447	16	110	-701	-701	-701	0	0
Vốn chủ sở hữu ###Owners equity	4054723	3990102	3656616	1955834	1960131	1923952	1226090	1187802	1184351	1153615	1192863	1138359	1080121	1101431	1068965	1056960	1046900	1037557	1027789	1027789	314949	0
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	547328	467059	0	455079	295736	288267	124046	0	124076	130059	60043	195	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	7765656	7733776	7617285	6793638	6999489	7185714	7571866	4975009	5050904	4326934	3202236	3182090	3176666	2908616	1799713	1769920	0	1138687	522912



KET QUA KINH DOANH	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q2 2007	 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	320544	265569	212675	665086	103125	222801	194595	144564	485863	71459	165227	128340	120838	471269	78253	148776	124830	119024	485434	137553	134837	100603
Các khoản giảm trừ doanh thu###Deduction revenues	111	243	143	377	57	84	16	220	385	64	101	81	140	618	-1386	142	48	1813	736	54	1117	519
Doanh thu thuần###Net Sales	320433	265326	212532	664708	103069	222717	194579	144344	485478	71395	165126	128260	120698	470651	79639	148633	124782	117210	397379	137499	133720	100084
Giá vốn hàng bán###Cost of goods sold	192549	146472	101600	403424	133443	100108	92403	77469	293313	70057	80003	75972	67281	322120	77504	86232	79059	79101	262817	83912	97173	85504
Lợi nhuận gộp###Gross profit	127884	118854	110932	261284	-30375	122608	102176	66875	192165	1338	85122	52288	53417	148531	2135	62401	45723	38109	134562	53587	36547	14580
Doanh thu hoạt động tài chính###Financial activities Revenues	148763	234075	125319	462171	133011	116742	107403	105015	213271	114837	39111	36046	23277	153648	144750	1647	2435	4816	82329	282	1529	244
Chi phí tài chính###Financial Expenses	188833	156972	148250	556951	129271	143905	142043	141732	336864	189708	54782	54654	57919	158340	130447	27885	23121	16613	41252	7688	7545	6512
Chi phí bán hàng###Selling Expenses	15025	10603	9282	55185	10290	31038	7313	6544	27651	8680	4933	8638	5137	42505	7853	19123	9283	6301	26810	7917	3775	4236
Chi phí quản lý doanh nghiệp###Managing Expenses	52189	41671	13376	57346	14685	21505	11009	10148	39758	10245	13220	14884	7538	36471	9313	8325	7774	10822	52156	13253	23657	21568
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	20600	143682	65343	53973	-51610	42903	49214	13466	1163	-92458	51299	10158	6101	64863	-728	8715	7981	9188	96674	25012	3099	-17492
Thu nhập khác###Other incomes	919	694	902	149859	149685	794	496	937	28271	8020	15498	1113	2384	3529	-1817	2562	2210	574	5726	2224	3568	719
Chi phí khác###Other Expenses	2201	10224	1332	10416	4973	530	3628	1285	3531	1298	152	1538	543	415	35	255	100	26	9054	6312	3952	239
Lợi nhuận khác###Other profits	-1282	-9530	-430	139443	144712	264	-3132	-349	24740	6723	15346	-424	1841	3114	-1852	2307	2110	549	-3328	-4087	-384	481
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	63327	172533	72934	165760	73243	49106	41226	4237	73312	-34856	68008	12382	8019	67073	-2580	11022	10091	9737	93346	20924	2715	-17011
Chi phí thuế TNDN###Corporate Income Tax Expenses	160	27891	6040	16051	7923	2680	1412	1775	2925	-3938	8710	312	538	-7467	-7313	905	12	0	10406	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	160	28622	5921	13441	7415	2603	1733	1690	2593	-6849	8917	285	239	131	-789	905	12	0	10406	5636	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	-1	-730	119	2610	507	78	-321	85	333	669	-207	26	-3288	-283	-6524	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	63168	144642	66894	149709	65320	46425	39814	2462	70387	-28677	59298	12070	11069	67224	4733	10117	10079	9737	82940	15289	2715	-17011
---Cac Chi So Tai Chinh---																						
EBITDA	0.99	0.85	0.93	0.98	0.98	0.98	1.00	1.07	1.12	1.12	0.98	0.80	0.42	0.36	0.36	0.30	0.45	0.73	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	81.00	59.00	66.50	42.20	42.20	31.00	35.90	26.79	30.99	30.99	44.55	43.26	31.64	42.61	42.61	71.02	69.73	76.83	0.00	0.00	0.00	0.00
