CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	 2014	Q4 2014	 2013	 2012	 2011
Tài sản ngắn hạn###Current Assets	416683	382937	353700	355964	493672	480296	452812	420529	410193	449475	468321	398919	365606	364975	414460	374337	390129	336790	338043	348697	445105	423337	376249	380998	413015	417253	396345	396345	279680	294035	272515
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	200826	182957	179784	155469	183048	238389	199286	172124	172124	191954	219241	157533	155122	156623	154712	140443	126305	133564	133564	146774	218676	176774	184135	184091	185692	192053	216246	216246	143215	180439	152678
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	1000	1000	1000	25316	24001	19000	56002	61002	47002	17002	42002	31002	31501	30000	30000	31501	30000	30000	30000	27000	31000	36000	37000	37000	34000	34000	32000	25000	3000	1000	1500
Các khoản phải thu ngắn hạn###Short term Account Receivables	204346	188516	152728	154991	275025	212965	187689	176440	180035	231429	197951	200018	167334	167334	218009	190531	222489	163268	164913	165091	184864	199209	145186	149978	182358	178392	134559	127414	115775	96002	99113
Hàng tồn kho###Inventory	0	0	0	0	0	0	0	0	70	2	2	2	1	1	10	883	759	0	0	4	4	37	0	0	1	1	6	6	14	5	1
Tài sản ngắn hạn khác###Other Current Assets	10511	10465	20189	20189	11599	9942	9836	10963	10962	9089	9126	10365	11648	11018	11728	10981	10576	9957	9566	9828	10562	11317	9928	9929	10964	12806	13535	27679	17676	16589	19223
Tài sản dài hạn###Non-current Assets	190169	194441	197718	197728	202193	204961	204450	208283	217236	213248	202927	278052	279986	279986	281433	276511	279269	282214	281892	286449	226621	234514	237310	230749	247527	233717	251530	251530	206639	189640	188871
Các khoản phải thu dài hạn###Long term Account Receivable	9102	9264	9264	9264	8877	8877	8875	8875	8875	8875	8875	8950	8961	8961	8961	8961	8521	8410	8410	8410	8321	7965	7965	965	757	707	7673	0	0	120	242
Tài sản cố định ###Fixed assets	75506	77765	79554	79393	81553	83004	78408	75084	75084	74927	75659	76515	76373	76373	76473	134942	136554	138779	138457	76429	78394	78526	80569	112962	116358	71938	73812	73812	109815	55903	53228
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-95212	-93175	-91221	-91218	-89113	-87347	-87640	-88125	-88125	-86609	-84713	-84735	-83277	-83277	-85155	-84123	-83447	-82066	-82066	-80209	-78379	-76514	-74573	-74573	-73289	-71532	-67471	-67471	-61852	-59428	-54504
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-3513	-3453	-3395	-3395	-3339	-3286	-3653	-3593	-3593	-3532	-3472	-3412	-3351	-3351	-3292	-4149	-3742	-3333	-3333	-2927	-2824	-2722	-2619	-2619	-2842	-2785	-2363	-2363	-1511	-683	-312
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	31574	32423	33414	33414	34406	35397	36389	37380	37380	38372	39406	40441	41475	41475	42510	43544	44578	45617	45617	46663	47709	48755	49801	49801	52388	53467	55625	55625	59940	63999	66857
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	13583	14148	14148	14148	15506	15506	13139	13591	27591	28035	14636	15181	15718	15718	16052	11594	12198	12009	12009	12180	14041	21417	21064	21976	23323	26255	34313	41313	33354	31950	30606
Tài sản dài hạn khác###Other long term assets	60168	60640	61138	61138	61660	61934	61152	61573	61573	60496	60944	61315	61826	61826	61850	1889	1921	1916	1916	2507	2186	2305	2377	2377	3611	4024	4323	4996	3530	3973	3455
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	606853	577379	551418	553692	695865	685257	657262	628812	627429	662723	671248	676970	645592	644962	695892	650848	669398	619003	619935	635146	671725	657851	613559	611747	660542	650970	647876	647876	486319	483674	461386
Nợ phải trả ###Liabilities	252629	228615	206517	208748	336682	332172	306626	282317	280788	328669	343108	300743	273038	272437	342913	301933	314968	267638	266557	296760	343448	315132	275950	282213	335826	330538	331825	331825	249164	264144	253023
Nợ ngắn hạn###Short term Liabilities	251134	227181	204991	207208	335101	330414	304731	280572	279044	326733	340447	297759	270208	269606	333850	293957	306582	259166	258085	288196	328481	300179	261002	267321	320902	316674	316855	317355	237650	260441	247448
Nợ dài hạn###Long term Liabilities	1494	1434	1527	1541	1581	1758	1895	1745	1745	1936	2661	2984	2830	2830	9063	7976	8386	8471	8471	8565	14968	14954	14948	14893	14924	13864	14970	14470	11514	3703	5575
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	354224	348763	344900	344943	359184	353085	350636	346496	346641	334054	328140	376227	372554	372525	352979	348915	354430	351366	353379	338386	328277	342719	337609	329534	324716	320432	316051	316051	234728	219530	208362
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	354224	348763	344900	344943	359184	353085	350636	346496	346641	334054	328140	376227	372554	372525	352979	348915	354430	351366	353379	338386	328277	342719	337609	329534	324716	320432	316051	316051	234728	219530	208362
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2427	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	 2013	 2012	 2011
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	279028	182031	878333	249881	231122	225939	171849	914804	258390	226659	256825	173112	864552	263543	234704	173074	193232	863511	282720	199504	216797	164487	863668	246925	216686	226887	180714	843122	804351	610091	691703
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	279028	182031	878333	249881	231122	225939	171849	914804	258390	226659	256825	173112	864552	263543	234704	173074	193232	863511	282720	199504	216797	164487	863668	246925	216686	226887	180714	843122	804351	610091	691703
Giá vốn hàng bán###Cost of goods sold	258274	165609	788997	227520	207287	204142	149617	822463	235304	202321	232362	152476	772792	242850	211608	147237	171097	772160	260075	178426	189960	143699	775069	222651	193966	204819	161523	747840	719221	528093	604284
Lợi nhuận gộp###Gross profit	20754	16422	89336	22361	23835	21796	22232	92341	23086	24339	24463	20636	91760	20693	23095	25837	22135	91351	22645	21078	26837	20788	88599	24274	22720	22068	19191	95282	85129	81998	87419
Doanh thu hoạt động tài chính###Financial activities Revenues	3283	1693	25435	18329	1243	3291	2369	59807	19236	2530	35966	2169	25040	20036	1463	1840	2347	27428	20104	2246	2189	2717	45230	18034	5737	15828	1837	30836	12054	24332	27658
Chi phí tài chính###Financial Expenses	1257	211	3924	1861	260	910	678	4363	990	1396	1897	175	1344	214	240	1066	470	1557	460	167	436	322	3764	867	1599	986	501	2537	968	1845	8183
Chi phí bán hàng###Selling Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	10425	12986	69275	24092	17039	11213	17832	85275	29414	17924	20955	16982	70271	26212	19204	4545	20310	81561	26311	29718	5397	17704	80207	37819	18751	7352	15884	85202	67857	68999	70995
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	12355	4919	41571	14738	7779	12964	6091	62510	11918	7549	38113	5113	44752	13958	5114	21788	3891	30964	15806	-8426	20178	5832	56089	6071	10555	30943	7896	49843	28358	45442	43947
Thu nhập khác###Other incomes	10	346	1485	96	154	818	418	407	88	54	146	118	7789	7207	73	509	14	22694	30	22333	16	315	5517	-2110	234	7354	39	11931	12024	6294	2063
Chi phí khác###Other Expenses	14	219	861	546	272	5	40	1583	1	125	1448	9	1376	89	73	1225	3	904	669	227	8	0	2166	2357	20	76	10	727	8900	5000	709
Lợi nhuận khác###Other profits	-4	126	624	-450	-118	812	379	-1176	87	-70	-1301	109	6413	7118	0	-716	11	21789	-639	22106	8	315	3351	-4467	213	7278	29	11204	3125	1294	1354
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	12351	5045	42195	14288	7662	13776	6470	61335	12005	7478	36811	5222	51165	21076	5114	21072	3902	52753	15167	13680	20186	6147	59440	1603	10769	38221	7925	61047	42127	46736	45301
