CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	 2009	Q4 2009	 2008	 2007
Tài sản ngắn hạn###Current Assets	260396	275010	282050	282281	315538	337677	280870	326540	327278	332579	254202	278668	258931	259787	258936	220357	230136	228081	228997	219013	229957	279702	278958	283726	302381	220690	262580	247155	245845	264016	239065	249435	281255	280982	271416	292787	282280	282469	282255	278783	296393	294432	339724	341372	273801	288872	273208	269755	269527	276166	260961	247322	247322	198312	194784
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	28536	48132	30611	25611	25856	26998	49435	57605	57605	51158	74567	57520	52059	52059	38845	12161	56718	68711	68779	78686	21535	25843	55278	55259	118194	12970	26453	18164	18164	10878	6104	8119	24702	24701	6210	7199	3908	25888	25756	7756	5902	19221	51138	35638	6286	13337	9323	20370	20371	1375	6864	2528	2528	3086	20224
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	12222	222	222	5222	0	0	0	0	0	0	0	10000	30638	30638	30000	37000	20000	20000	20000	0	50804	70804	70000	70000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	15500	7000	500	2555	500	500	0	0	0	0	5038	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	197283	195560	234421	234349	260932	263642	198383	200302	200351	221603	140317	162083	157207	157235	154575	133744	119628	114599	113859	114729	120174	148201	132503	116771	129832	135603	167211	157563	137724	163202	159628	168554	181378	181143	181158	162667	159918	168853	168736	156093	188665	167008	190189	190189	141718	154123	150434	161660	161438	165177	166183	177420	177420	139868	116260
Hàng tồn kho###Inventory	17467	23952	10619	10922	24205	40793	28749	60682	60682	56577	36151	47014	14286	14593	27596	33825	30999	22684	22263	23755	34723	33810	20395	20395	32136	46024	43853	64889	64882	60829	43317	38623	46503	46467	51966	85866	85656	54205	54205	77149	74330	78193	70500	72442	84176	84678	71938	59784	59784	79536	60235	50767	50767	36675	50668
Tài sản ngắn hạn khác###Other Current Assets	4888	7144	6177	6177	4545	6243	4303	7950	8640	3241	3166	2050	4742	5262	7920	3626	2791	2087	4096	1843	2721	1044	782	21302	22219	26092	25063	6540	25075	29107	30016	34138	28672	28672	32082	37054	32798	33523	33426	37786	27497	30010	27896	27603	34621	36234	38958	27442	27434	30078	27679	16607	16607	13646	7631
Tài sản dài hạn###Non-current Assets	393538	397826	394641	394716	391922	389391	388005	375870	375880	352951	344624	314941	316273	316269	278591	213747	186841	172579	172631	164069	166783	133216	132859	117824	199710	202280	504774	501314	501314	494119	492340	504974	503865	503865	498468	496277	490626	477053	477053	473827	473758	472577	472754	472891	488934	487774	485078	477692	477692	470348	456462	433528	433528	415052	334013
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	196500	199651	188005	188005	189762	193047	195780	185283	246300	180628	246273	249907	110583	110583	46660	47405	12528	13078	13115	13572	14104	12619	13082	17583	18161	18711	90688	16508	92788	94909	97062	99240	468325	468325	462144	459170	455735	103984	447378	443368	442516	440550	111996	440081	455340	453397	451917	120209	447746	440983	426463	402424	402424	382757	331979
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-60540	-56819	-53100	-53100	-49644	-46758	-43355	-40257	-40263	-41924	-38947	-36050	-33889	-33340	-33218	-32464	-33952	-33915	-33821	-33645	-33104	-32705	-32223	-24972	-24939	-25373	-69619	-30399	-67550	-65461	-63339	-61193	-59036	-59036	-56876	-54900	-53556	-51379	-51379	-49446	-47283	-45164	-42998	-43021	-40846	-38694	-36606	-34410	-34410	-32564	-30934	-27643	-27643	-19397	-11196
