CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	 2005
Tài sản ngắn hạn###Current Assets	36901	38131	39260	39260	38811	39563	39210	40871	40871	40112	43531	40849	43343	43343	39311	39542	38908	38440	38557	36004	37715	36221	36200	30165	31331	35902	41545	42950	41899	39217	42531	41425	42368	42282	44899	49083	53555	53838	54838	48747	47387	42158	47613	47615	39046	41407	45657	49385	49385	43582	43950	39058	34781	34781	33224	31423	32169	24055	24055	20207	16640	15840	16310	16242	17696	19431	18987	17560	17676	18539	18539	18617
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	1185	1574	1574	1574	1425	1881	3119	3453	3453	1676	1222	1727	3750	3750	1157	2397	1123	3972	3972	2965	3250	9334	8080	8080	4225	5001	2635	5325	5325	5889	5184	2625	2907	2877	2334	1769	1423	2419	2419	2259	2590	5422	9580	9580	15090	17488	13748	18037	18037	17213	14749	851	2556	2556	1109	510	8045	889	889	834	1271	1094	981	981	479	535	503	522	522	310	310	454
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	16600	17100	19000	19000	18602	18102	15102	16297	16297	20121	22338	22760	25816	25816	19316	19029	22000	20000	20000	19000	22000	6000	6000	0	0	0	0	0	0	0	0	0	0	0	4000	3000	7000	7000	8000	7000	4000	0	0	0	0	0	0	0	0	0	0	10067	8275	8275	11007	9399	0	171	171	984	543	2004	0	-69	21	5	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	4620	3659	3719	3719	4225	4463	2863	2527	2527	2217	3286	2170	2378	2378	3147	3547	3260	3474	3591	3840	4174	4296	4755	4771	5906	5569	12482	13373	12058	12386	14154	11183	10784	10814	11792	11895	10933	9294	9294	7384	8947	7389	6211	6211	7152	7645	9734	8539	8539	9016	9593	7359	6755	6755	7845	6544	7208	7097	7097	5155	5135	5096	4540	4540	4885	5073	2669	2750	2864	4167	4167	3966
Hàng tồn kho###Inventory	14496	15798	14968	14968	14559	15116	18064	18594	18593	16098	16684	14192	11400	11400	15690	14493	12525	10856	10856	10199	8291	16592	17246	17195	21201	25332	26039	24172	24172	20510	22685	27287	28142	28142	26215	32132	33872	34795	34795	31874	31614	28949	31003	31003	16414	15745	21645	22509	22509	16948	19149	20356	16764	16764	13138	14481	16564	15777	15777	13234	9691	7646	10705	10665	12312	13752	15846	14290	14290	14061	14061	14151
Tài sản ngắn hạn khác###Other Current Assets	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	76	0	138	138	0	0	0	119	119	0	0	389	80	343	432	509	330	535	449	557	287	328	330	330	230	237	398	819	821	390	529	530	300	300	404	459	424	432	432	124	489	352	122	122	0	0	0	84	125	0	66	-31	-2	0	0	0	47
Tài sản dài hạn###Non-current Assets	11913	12528	13174	13174	14031	13629	14352	14828	15086	14718	14770	15653	16223	16223	16943	17634	17202	17856	17888	21765	20190	20969	21579	27579	28462	28775	23752	23875	24927	26014	26832	30193	30868	30868	29885	31232	33877	34935	33935	36389	37640	39728	39563	39563	41129	37775	27856	26890	26890	28160	24606	22094	22745	22745	20913	19005	19456	19491	19594	21042	22179	22783	20250	20318	21134	21934	21238	22248	22130	22246	22246	24003
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	140	140	140	0	0	0	0	150	205	205	205	205	256	256	389	409	409	459	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	10405	11027	11655	11655	12291	11800	12403	13006	13006	13386	14026	14667	13664	13664	14428	16490	16172	16846	16846	17529	18213	18778	19454	19822	19972	20636	21310	22015	22413	23138	23862	26168	26855	26855	25627	25920	26958	26291	27825	29949	31028	31215	30253	30415	31645	28766	20016	18795	19170	19629	15915	14721	15152	15152	13823	13173	13409	13152	13152	14000	14164	14869	15639	15861	19528	20523	21114	21879	22124	21983	21983	23730
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-64129	-63507	-62886	-62886	-62263	-61942	-61347	-60751	-60751	-60115	-59482	-58849	-58218	-58218	-58450	-59244	-59069	-58402	-58402	-57726	-57050	-56374	-55698	-55698	-55012	-54355	-53689	-54081	-54081	-53365	-52648	-51931	-51214	-51214	-50929	-50559	-49581	-48431	-48431	-47189	-45974	-44051	-43581	-43581	-47357	-46215	-45320	-44512	-44512	-43560	-42625	-41781	-40988	0	0	0	0	-38265	0	0	0	-35456	-34754	-34802	-34096	-33026	-31997	-30922	-30947	0	0	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-78	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-118	-118	-111	-111	-103	-96	-88	-81	-81	-74	-66	-59	-52	-52	-44	-37	-29	-22	-22	-15	-7	0	0	-117	-310	-302	-294	0	-287	-279	-271	-264	-256	-256	-248	-241	-233	-225	-225	-218	-210	-202	-195	-195	-200	-192	-185	-177	-177	-169	-160	-151	-142	0	0	0	0	-107	0	0	0	0	-69	-69	-1804	-1634	-1499	-1332	-1332	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	156	161	161	167	172	177	182	182	187	192	197	202	202	207	212	0	222	0	0	0	0	244	0	257	257	266
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	1260	1260	1260	1260	1260	1260	1260	1260	258	258	258	453	453	453	453	453	452	452	484	3484	484	711	711	6711	6711	6711	1112	62	1113	1116	1148	4003	4006	4006	4225	5251	6891	7101	6101	6422	6585	8514	9149	9149	9434	8804	7683	7558	7558	8196	8184	6694	6744	6744	6236	4622	4658	4803	4803	5335	6137	6081	2389	2458	1606	1411	124	124	6	6	6	6
