CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	 2011	 2010
Tài sản ngắn hạn###Current Assets	183399	164009	178393	199342	183632	177198	197931	219496	219566	198896	215005	215519	173828	173688	198448	200858	187876	191587	189235	200105	209741	157920	179018	178011	159061	211248	180562	176668	177762	202613	218962	192463	208600	204664	181439	174691	171053	187046
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	7427	12504	12783	12783	27657	52702	55872	42022	42022	30597	28726	22992	41715	41715	70711	81545	83253	67815	67817	109232	88695	72585	69273	69201	20269	41200	16060	18007	18007	19505	12783	11599	15813	15813	10826	20708	24773	52427
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	20000	0	0	20948	8000	0	0	15000	15000	15000	40000	40000	0	0	0	0	0	0	0	0	0	0	1000	1000	1000	2023	2023	2000	2000	1000	1000	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	112209	114402	148322	148322	113478	102999	111948	138552	138552	133312	119493	123610	109623	109624	107291	99178	89002	106706	104704	59378	96755	62804	85822	85827	116255	141016	135906	100809	101885	135881	118334	87181	126146	109465	86195	94651	91104	104782
Hàng tồn kho###Inventory	31644	32368	16736	16736	32818	19873	28716	23083	23083	19003	24389	27567	20305	20256	16349	17708	11434	9608	9521	26001	20543	17934	16652	15967	13766	21210	22738	39323	39426	14810	56144	58785	42996	55965	59411	42397	40554	21400
Tài sản ngắn hạn khác###Other Current Assets	12119	4735	553	553	1679	1624	1396	840	909	985	2398	1350	2186	2093	4098	2427	4187	7459	7192	5494	3747	4597	6271	6016	7771	5799	3834	16530	16444	31417	30701	34898	23646	23422	25007	16935	14623	8437
Tài sản dài hạn###Non-current Assets	105349	120049	120152	99204	101683	105286	109822	109083	109092	110053	111063	119528	171464	171683	134124	148954	145738	160451	160437	124059	136954	151856	167522	167532	201348	210630	200040	208596	208595	227191	272462	296150	299842	299770	316457	342727	383505	281360
Các khoản phải thu dài hạn###Long term Account Receivable	794	794	794	794	633	633	472	472	472	118	118	309	224	224	257	257	224	224	224	289	291	291	225	225	294	2120	2118	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	89886	80040	84321	84321	88766	93183	97410	96571	96571	101069	104646	112406	120027	118206	110275	123615	138070	152852	152839	114370	128839	143233	158321	158321	190191	199084	187171	196332	194453	213952	258708	282773	286486	289259	306913	328164	352549	262193
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-482655	-481079	-476667	-476667	-475996	-475149	-470687	-466232	-466982	-462479	-462138	-455497	-445286	-445090	-433921	-421382	-409139	-396324	-396560	-391444	-387805	-373435	-361447	-361447	-327091	-313348	-304958	-296593	-296593	-279005	-281384	-265747	-262355	-262427	-243479	-223995	-217980	-185708
