CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	 2011	 2010	 2009
Tài sản ngắn hạn###Current Assets	209120	318677	290424	290424	203667	169205	132706	140760	140760	121612	134157	97447	76150	76150	110033	100347	93146	116511	116511	233966	232880	245328	264639	264639	151501	160893	196906	327762	330374	236998	200785	252426	261228	265202	295340	319726	232683	171347	217902
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	425	80201	58873	58873	79635	80960	19462	23672	23672	13788	19237	1241	728	728	2056	1212	776	18859	18859	1152	1122	17930	1303	1303	14557	16175	29840	143087	143087	50427	46354	70186	82620	82620	88460	107775	150551	51767	40712
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	101920	122470	129620	129620	29183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49700	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	34636	47374	19910	19910	25797	24675	38831	42442	42442	20830	38992	15599	16470	16470	25810	18488	25183	30700	30700	147872	151264	152154	201198	201198	52923	62139	81665	84206	86709	119396	74986	87003	71259	75160	156512	157965	46019	20154	102877
Hàng tồn kho###Inventory	71634	67812	81985	81985	68279	62251	72707	73373	73373	85892	75313	78859	58338	58338	79835	78817	65157	66407	66407	81770	77321	70462	61519	61519	80691	80950	84120	98113	98113	62789	74462	88925	84467	84540	39750	51556	34604	48862	72333
Tài sản ngắn hạn khác###Other Current Assets	505	821	37	37	773	1318	1705	1274	1274	1102	616	1749	614	614	2332	1831	2030	545	545	3171	3174	4781	619	619	3330	1630	1281	2355	2464	4387	4982	6312	22881	22881	10616	2432	1509	863	1979
Tài sản dài hạn###Non-current Assets	615268	625454	642873	642873	650724	662735	680953	692110	692110	701397	715551	732885	746381	746361	758684	773638	791494	805014	805014	806819	817996	837131	853178	853178	878161	899511	912683	874872	874872	821932	671230	664866	608688	603892	423931	201775	191169	172119	196161
Các khoản phải thu dài hạn###Long term Account Receivable	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	537134	549942	557736	557736	565413	579265	600403	617081	617081	628714	641354	656216	670261	670259	678787	692685	708032	721833	721833	703815	730346	746249	761289	761289	785703	797196	814730	798601	514949	524735	535744	547698	525546	525504	346525	100141	103221	117326	120294
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-444712	-427707	-412365	-412365	-396902	-380179	-369129	-352128	-352128	-335746	-318803	-303273	-286894	-287004	-273533	-257080	-242968	-227213	-227213	-209883	-268257	-247898	-240021	-240021	-222924	-205257	-187727	-170390	-170390	-184694	-174309	-163350	-152074	-152074	-147520	-139428	-121871	-104293	-87541
