CAN DOI KE TOAN	 2019	 2018	 2017	 2016
Tài sản ngắn hạn###Current Assets	518890	398805	579858	517482
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	284401	193658	423083	366518
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	32024	25584	40171	31408
Hàng tồn kho###Inventory	193937	174146	110645	115987
Tài sản ngắn hạn khác###Other Current Assets	8528	5417	5959	3569
Tài sản dài hạn###Non-current Assets	25289	19488	28086	23814
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0
Tài sản cố định ###Fixed assets	25289	19488	26138	21866
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-103518	-95351	-100692	-94777
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0
Lợi thế thương mại	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0
Tài sản dài hạn khác###Other long term assets	0	0	1948	1948
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	544179	418293	607945	541295
Nợ phải trả ###Liabilities	388130	270544	463781	407545
Nợ ngắn hạn###Short term Liabilities	388130	270544	463781	407545
Nợ dài hạn###Long term Liabilities	0	0	0	0
Dự phòng nghiệp vụ	0	0	0	0
No khac	0	0	0	0
Vốn chủ sở hữu ###Owners equity	156049	147749	144164	133750
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0
Vốn chủ sở hữu ###Owners equity	156049	147749	144164	133750
Lợi ích của cổ đông thiểu số	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0



KET QUA KINH DOANH	 2019	 2018	 2017	 2016
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	633680	616230	582943	535830
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0
Doanh thu thuần###Net Sales	633680	616230	582943	535830
Giá vốn hàng bán###Cost of goods sold	570077	559081	519740	475682
Lợi nhuận gộp###Gross profit	63603	57148	63204	60147
Doanh thu hoạt động tài chính###Financial activities Revenues	5883	7497	7175	11268
Chi phí tài chính###Financial Expenses	148	4	13	41
Chi phí bán hàng###Selling Expenses	16924	15587	14280	14653
Chi phí quản lý doanh nghiệp###Managing Expenses	29056	26935	29049	29676
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	23358	22119	27036	27044
Thu nhập khác###Other incomes	0	457	91	0
Chi phí khác###Other Expenses	50	0	29	35
Lợi nhuận khác###Other profits	-50	457	62	-35
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	23308	22576	27098	27009
Chi phí thuế TNDN###Corporate Income Tax Expenses	5441	5459	5518	6707
Chi phí thuế TNDN###Corporate Income Tax Expenses	5441	3511	5518	6512
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	1948	0	195
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	17868	17117	21580	20302
---Cac Chi So Tai Chinh---				
EBITDA	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	16.75	17.24	0.00	0.00
