CAN DOI KE TOAN	 2019	 2018	 2017	 2016	 2015	 2014	 2013	 2012
Tài sản ngắn hạn###Current Assets	692064	717167	701106	619311	572257	674758	613518	530408
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	138884	55909	101777	47925	76046	54762	50773	19769
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	18101	38542	26000	25165	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	427904	510453	453853	411624	357422	470284	459411	424274
Hàng tồn kho###Inventory	98418	102250	112797	132086	134282	143368	95247	83909
Tài sản ngắn hạn khác###Other Current Assets	8756	10013	6679	2511	4507	6344	8087	2455
Tài sản dài hạn###Non-current Assets	60134	51761	55502	40999	20983	10591	12621	12076
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	236	146	2322	0	0	0
Tài sản cố định ###Fixed assets	51600	48148	51568	6556	7973	9488	10023	9454
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-25255	-21667	-17850	-14923	-13178	-12505	-11164	-10905
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	-662	-503	-344	-185	-18	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-1398	-1332	-1267	-1113	-2393	-2191	-1971	-1795
Lợi thế thương mại	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	1304	192	0	0	0	0	1326	1326
Tài sản dài hạn khác###Other long term assets	1143	763	746	242	794	1103	1272	1296
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	752198	768929	756608	660310	593240	685349	626140	542485
Nợ phải trả ###Liabilities	692297	712411	703371	600674	536393	635982	578706	499785
Nợ ngắn hạn###Short term Liabilities	663469	688064	687342	586866	529855	634858	577742	498540
Nợ dài hạn###Long term Liabilities	28828	24347	16029	13808	6538	1124	964	1245
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	59901	56517	53237	59636	56847	49367	47434	42700
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	59901	56517	53237	59636	56847	49367	47434	42700
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	 2019	 2018	 2017	 2016	 2015	 2014	 2013	 2012
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	518888	538586	499304	538177	513320	454620	470784	415428
Các khoản giảm trừ doanh thu###Deduction revenues	9139	9150	4374	3239	2854	7096	2809	806
Doanh thu thuần###Net Sales	509749	529436	494930	534938	510467	447524	467976	414622
Giá vốn hàng bán###Cost of goods sold	416167	437092	412547	447312	442035	395419	418787	361319
Lợi nhuận gộp###Gross profit	93582	92344	82382	87626	68432	52105	49188	53303
Doanh thu hoạt động tài chính###Financial activities Revenues	10048	9750	8641	5977	10049	8655	7255	8791
Chi phí tài chính###Financial Expenses	24757	28799	25672	24104	24330	14856	14372	16514
Chi phí bán hàng###Selling Expenses	33877	32258	29659	32368	28076	19673	16322	18310
Chi phí quản lý doanh nghiệp###Managing Expenses	26514	23914	19592	22282	13007	17012	17439	15653
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	18481	17122	16100	14849	13068	9219	8311	11618
Thu nhập khác###Other incomes	436	556	343	810	2151	5982	6008	1816
Chi phí khác###Other Expenses	1	30	10	129	75	88	49	96
Lợi nhuận khác###Other profits	435	526	332	681	2077	5894	5960	1720
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	18916	17648	16433	15531	15145	15113	14270	13338
Chi phí thuế TNDN###Corporate Income Tax Expenses	3796	3558	3298	3126	3344	3889	3726	3430
Chi phí thuế TNDN###Corporate Income Tax Expenses	3796	3558	3298	3126	3344	3395	3043	3814
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	494	683	-384
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	15121	14090	13135	12405	11800	11224	10545	9907
---Cac Chi So Tai Chinh---								
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	92.00	93.12	30.63	0.00	0.00	0.00	0.00	0.00
